date,country,subdivision,name,type
2028-01-03,uk,EAW,New Year's Day,public
2028-01-03,uk,NIR,New Year's Day,public
2028-01-03,uk,SCT,New Year's Day,public
2028-01-04,uk,SCT,2nd January,public
2028-03-17,uk,NIR,St Patrick's Day,public
2028-04-14,uk,EAW,Good Friday,public
2028-04-14,uk,NIR,Good Friday,public
2028-04-14,uk,SCT,Good Friday,public
2028-04-17,uk,EAW,Easter Monday,public
2028-04-17,uk,NIR,Easter Monday,public
2028-05-01,uk,EAW,Early May bank holiday,public
2028-05-01,uk,NIR,Early May bank holiday,public
2028-05-01,uk,SCT,Early May bank holiday,public
2028-05-29,uk,EAW,Spring bank holiday,public
2028-05-29,uk,NIR,Spring bank holiday,public
2028-05-29,uk,SCT,Spring bank holiday,public
2028-07-12,uk,NIR,Battle of the Boyne (Orangemen's Day),public
2028-08-07,uk,SCT,Summer bank holiday,public
2028-08-28,uk,EAW,Summer bank holiday,public
2028-08-28,uk,NIR,Summer bank holiday,public
2028-11-30,uk,SCT,St Andrew's Day,public
2028-12-25,uk,EAW,Christmas Day,public
2028-12-25,uk,NIR,Christmas Day,public
2028-12-25,uk,SCT,Christmas Day,public
2028-12-26,uk,EAW,Boxing Day,public
2028-12-26,uk,NIR,Boxing Day,public
2028-12-26,uk,SCT,Boxing Day,public
