start,end,country,subdivision,name,type
2027-01-01,2027-01-28,au,NSW,Summer school holidays,school
2027-04-12,2027-04-23,au,NSW,Autumn school holidays,school
2027-07-05,2027-07-16,au,NSW,Winter school holidays,school
2027-09-27,2027-10-08,au,NSW,Spring school holidays,school
2027-12-21,2027-12-31,au,NSW,Summer school holidays,school
2027-01-01,2027-01-26,au,VIC,Summer school holidays,school
2027-03-26,2027-04-11,au,VIC,Autumn school holidays,school
2027-06-26,2027-07-11,au,VIC,Winter school holidays,school
2027-09-18,2027-10-03,au,VIC,Spring school holidays,school
2027-12-18,2027-12-31,au,VIC,Summer school holidays,school
2027-01-01,2027-01-23,au,QLD,Summer school holidays,school
2027-03-26,2027-04-11,au,QLD,Autumn school holidays,school
2027-06-26,2027-07-11,au,QLD,Winter school holidays,school
2027-09-18,2027-10-04,au,QLD,Spring school holidays,school
2027-12-11,2027-12-31,au,QLD,Summer school holidays,school
2027-01-01,2027-01-26,au,SA,Summer school holidays,school
2027-04-10,2027-04-25,au,SA,Autumn school holidays,school
2027-07-03,2027-07-18,au,SA,Winter school holidays,school
2027-09-25,2027-10-10,au,SA,Spring school holidays,school
2027-12-11,2027-12-31,au,SA,Summer school holidays,school
2027-01-01,2027-01-31,au,WA,Summer school holidays,school
2027-04-10,2027-04-25,au,WA,Autumn school holidays,school
2027-07-03,2027-07-18,au,WA,Winter school holidays,school
2027-09-25,2027-10-10,au,WA,Spring school holidays,school
2027-12-17,2027-12-31,au,WA,Summer school holidays,school
