date,country,subdivision,name,type
2028-01-03,au,,New Year's Day,public
2028-01-26,au,,Australia Day,public
2028-03-06,au,WA,Labour Day,public
2028-03-13,au,ACT,Canberra Day,public
2028-03-13,au,SA,Adelaide Cup Day,public
2028-03-13,au,TAS,Eight Hours Day,public
2028-03-13,au,VIC,Labour Day,public
2028-04-14,au,,Good Friday,public
2028-04-15,au,ACT,Easter Eve,public
2028-04-15,au,NSW,Easter Eve,public
2028-04-15,au,NT,Easter Eve,public
2028-04-15,au,QLD,Easter Eve,public
2028-04-15,au,SA,Easter Eve,public
2028-04-15,au,VIC,Easter Eve,public
2028-04-16,au,ACT,Easter Sunday,public
2028-04-16,au,NSW,Easter Sunday,public
2028-04-16,au,NT,Easter Sunday,public
2028-04-16,au,QLD,Easter Sunday,public
2028-04-16,au,SA,Easter Sunday,public
2028-04-16,au,VIC,Easter Sunday,public
2028-04-16,au,WA,Easter Sunday,public
2028-04-17,au,,Easter Monday,public
2028-04-25,au,,Anzac Day,public
2028-05-01,au,NT,May Day,public
2028-05-01,au,QLD,Labour Day,public
2028-05-29,au,ACT,Reconciliation Day,public
2028-06-05,au,WA,Western Australia Day,public
2028-06-12,au,ACT,King's Birthday,public
2028-06-12,au,NSW,King's Birthday,public
2028-06-12,au,NT,King's Birthday,public
2028-06-12,au,SA,King's Birthday,public
2028-06-12,au,TAS,King's Birthday,public
2028-06-12,au,VIC,King's Birthday,public
2028-08-07,au,NT,Picnic Day,public
2028-09-25,au,WA,King's Birthday,public
2028-09-29,au,VIC,Friday before AFL Grand Final (Tentative Date),public
2028-10-02,au,ACT,Labour Day,public
2028-10-02,au,NSW,Labour Day,public
2028-10-02,au,QLD,King's Birthday,public
2028-10-02,au,SA,Labour Day,public
2028-11-07,au,VIC,Melbourne Cup,public
2028-12-25,au,,Christmas Day,public
2028-12-26,au,,Boxing Day,public
